"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.",,
Update (02/2017): ,,
"Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, ""A Cautionary Note on the Help Wanted Online Data""), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. ",,
"The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).",,
,,
See the paper for details and construction methods for the composite HWI over 1951-2000.,,
,,
year,V_hwi,V/LF
1973.42,4271.286953,4.77
1973.50,4340.220974,4.84
1973.58,4236.33039,4.73
1973.67,4202.074509,4.68
1973.75,4265.768742,4.73
1973.83,4243.142002,4.68
1973.92,4066.442373,4.47
1974.00,4063.406505,4.46
1974.08,3974.668448,4.34
1974.17,3990.185739,4.36
1974.25,4117.958011,4.51
1974.33,4064.160989,4.44
1974.42,3957.339731,4.31
1974.50,3818.727006,4.14
1974.58,3727.292886,4.05
1974.67,3573.673131,3.86
1974.75,3318.265398,3.59
1974.83,3069.905551,3.31
1974.92,2813.075374,3.03
1975.00,2651.454322,2.85
1975.08,2589.976027,2.79
1975.17,2514.715141,2.70
1975.25,2521.031283,2.70
1975.33,2516.765429,2.68
1975.42,2698.780644,2.88
1975.50,2746.408317,2.92
1975.58,2715.710212,2.88
1975.67,2786.527021,2.96
1975.75,2788.449743,2.96
1975.83,2892.494884,3.07
1975.92,2897.374531,3.07
1976.00,2966.139943,3.12
1976.08,3126.206179,3.29
1976.17,3150.950316,3.31
1976.25,3133.120213,3.27
1976.33,3207.304928,3.35
1976.42,3226.303455,3.36
1976.50,3196.221545,3.31
1976.58,3201.450239,3.31
1976.67,3177.378316,3.29
1976.75,3218.104155,3.33
1976.83,3290.347106,3.38
1976.92,3437.506701,3.53
1977.00,3540.392293,3.64
1977.08,3543.328881,3.62
1977.17,3645.982823,3.72
1977.25,3744.86712,3.81
1977.33,3848.829992,3.90
1977.42,3883.845902,3.92
1977.50,3986.511492,4.03
1977.58,4078.250843,4.10
1977.67,4063.434976,4.09
1977.75,4262.760607,4.27
1977.83,4406.825542,4.38
1977.92,4533.150596,4.51
1978.00,4569.03173,4.53
1978.08,4604.686021,4.57
1978.17,4747.157687,4.70
1978.25,5032.693734,4.95
1978.33,4992.133174,4.90
1978.42,4996.478525,4.88
1978.50,4997.845137,4.88
1978.58,5079.119335,4.95
1978.67,5150.20403,5.01
1978.75,5316.940078,5.16
1978.83,5284.363251,5.10
1978.92,5316.158602,5.12
1979.00,5271.145646,5.07
1979.08,5158.447516,4.94
1979.17,5201.414252,4.97
1979.25,5373.266218,5.16
1979.33,5334.69697,5.12
1979.42,5261.886631,5.03
1979.50,5221.953545,4.97
1979.58,5284.917882,5.03
1979.67,5423.802747,5.14
1979.75,5510.706083,5.21
1979.83,5164.425333,4.88
1979.92,5127.259486,4.83
1980.00,5004.022252,4.70
1980.08,4892.006687,4.58
