DATE,NROU
2000-10-01,5.193731
2001-01-01,5.183196544647217
2001-04-01,5.172613620758057
2001-07-01,5.161983
2001-10-01,5.151313
2002-01-01,5.140615463256836
2002-04-01,5.129905
2002-07-01,5.119209
2002-10-01,5.1085615158081055
2003-01-01,5.09799
2003-04-01,5.087525
2003-07-01,5.077202
2003-10-01,5.067058563232422
2004-01-01,5.057126
2004-04-01,5.0474324226379395
2004-07-01,5.038008
2004-10-01,5.028878688812256
2005-01-01,5.020076
2005-04-01,5.011637
2005-07-01,5.003654480000438
2005-10-01,4.9967167758934
2006-01-01,4.987016736794103
2006-04-01,4.976734475862477
2006-07-01,4.966011157786974
2006-10-01,4.955040080493421
2007-01-01,4.944046980128732
2007-04-01,4.933268579217006
2007-07-01,4.922925139441717
2007-10-01,4.913194324705306
2008-01-01,4.904191718858677
2008-04-01,4.895960569602773
2008-07-01,4.888470759617824
2008-10-01,4.88162329538316
2009-01-01,4.875261901289407
2009-04-01,4.869192265374635
2009-07-01,4.863205979930874
2009-10-01,4.857106944397845
2010-01-01,4.850728282627726
2010-04-01,4.843936590710999
2010-07-01,4.836630897441851
2010-10-01,4.828742862936905
2011-01-01,4.820244006599269
2011-04-01,4.811158123503825
2011-07-01,4.801569813017011
2011-10-01,4.791622118171009
2012-01-01,4.781499529253637
2012-04-01,4.7713995210888855
2012-07-01,4.761502714877658
2012-10-01,4.751948856560013
2013-01-01,4.742824857468626
2013-04-01,4.734167218385459
2013-07-01,4.725973251949637
2013-10-01,4.71821229323513
2014-01-01,4.710835162426804
2014-04-01,4.70378083099091
2014-07-01,4.696979837805766
2014-10-01,4.690356277967989
2015-01-01,4.683831538634186
2015-04-01,4.677328465531269
2015-07-01,4.670774594146351
2015-10-01,4.664107354087191
2016-01-01,4.657280063380819
2016-04-01,4.650266763167459
2016-07-01,4.643065795549792
2016-10-01,4.6356975117040875
2017-01-01,4.628192464607139
2017-04-01,4.620574023479433
2017-07-01,4.6128389885979715
2017-10-01,4.6049403705047505
2018-01-01,4.596784534414666
2018-04-01,4.588244232774207
2018-07-01,4.579182858380815
2018-10-01,4.569488334912821
2019-01-01,4.559107349559952
2019-04-01,4.548072316787357
2019-07-01,4.536518384932685
2019-10-01,4.524682420558517
2020-01-01,4.5128759969487735
2020-04-01,4.501435076327348
2020-07-01,4.490658240630827
2020-10-01,4.480756326904777
2021-01-01,4.471937681753402
2021-04-01,4.464050205939966
2021-07-01,4.457079946040466
2021-10-01,4.45092629816982
2022-01-01,4.445478926038733
2022-04-01,4.440633026107982
2022-07-01,4.436298572922203
2022-10-01,4.432397539934411
2023-01-01,4.428862109006247
2023-04-01,4.425628202783107
2023-07-01,4.4226168299383986
2023-10-01,4.419751374960817
2024-01-01,4.416962027434237
2024-04-01,4.414191339022108
2024-07-01,4.411415460242376
2024-10-01,4.408618930715329
2025-01-01,4.405786310746468
2025-04-01,4.402899091204337
2025-07-01,4.39992582212516
2025-10-01,4.3968345239248485
2026-01-01,4.393597040806331
2026-04-01,4.390189080600473
2026-07-01,4.386590328919626
2026-10-01,4.382784419875694
2027-01-01,4.378759685007639
2027-04-01,4.374510955091718
2027-07-01,4.370042285848809
2027-10-01,4.3653662538647096
2028-01-01,4.360502655020482
2028-04-01,4.355476002795998
2028-07-01,4.350312077885277
2028-10-01,4.345035945287484
2029-01-01,4.33967047878045
2029-04-01,4.334235900994287
2029-07-01,4.3287503449158695
2029-10-01,4.3232303708328015
2030-01-01,4.317691820842833
2030-04-01,4.312150694955038
2030-07-01,4.306623728722118
2030-10-01,4.301127469038125
2031-01-01,4.295676305387768
2031-04-01,4.290279111886975
2031-07-01,4.284934865313788
2031-10-01,4.27963290489206
2032-01-01,4.2743543288500625
2032-04-01,4.2690762424140285
2032-07-01,4.263779368636373
2032-10-01,4.258447884592245
2033-01-01,4.253070110934728
2033-04-01,4.247637460210504
2033-07-01,4.242140097303319
2033-10-01,4.236569645996074
2034-01-01,4.230920216122017
2034-04-01,4.225189519728639
2034-07-01,4.219381109425804
2034-10-01,4.213502939170596
