Year,FERU,Generalized FERU
1968.25,0.0402,0.0451
1968.5,0.0409,0.0459
1968.75,0.0413,0.0464
1969,0.0418,0.0469
1969.25,0.042,0.0471
1969.5,0.0421,0.0472
1969.75,0.0418,0.0469
1970,0.0428,0.0481
1970.25,0.043,0.0484
1970.5,0.0429,0.0483
1970.75,0.0436,0.0491
1971,0.0435,0.049
1971.25,0.0439,0.0495
1971.5,0.0447,0.0504
1971.75,0.0448,0.0504
1972,0.0458,0.0459
1972.25,0.0464,0.0466
1972.5,0.0472,0.0476
1972.75,0.0488,0.0495
1973,0.0487,0.0498
1973.25,0.0484,0.0494
1973.5,0.0477,0.0488
1973.75,0.047,0.048
1974,0.0475,0.0482
1974.25,0.0479,0.0487
1974.5,0.0476,0.0479
1974.75,0.0467,0.0464
1975,0.0479,0.0467
1975.25,0.0494,0.048
1975.5,0.0497,0.0485
1975.75,0.0502,0.0491
1976,0.0501,0.0493
1976.25,0.0502,0.0495
1976.5,0.0505,0.0498
1976.75,0.0515,0.0508
1977,0.0524,0.0519
1977.25,0.0526,0.0523
1977.5,0.053,0.053
1977.75,0.0541,0.0543
1978,0.054,0.0544
1978.25,0.0543,0.055
1978.5,0.0546,0.0554
1978.75,0.055,0.0559
1979,0.0541,0.055
1979.25,0.0539,0.0549
1979.5,0.0544,0.0553
1979.75,0.0545,0.0553
1980,0.0539,0.0543
1980.25,0.0527,0.0524
1980.5,0.0539,0.0534
1980.75,0.0542,0.0539
1981,0.0534,0.0531
1981.25,0.0531,0.0527
1981.5,0.0523,0.0519
1981.75,0.052,0.0511
1982,0.0518,0.0506
1982.25,0.0508,0.0492
1982.5,0.0488,0.0469
1982.75,0.0497,0.0476
1983,0.0504,0.0483
1983.25,0.0522,0.0504
1983.5,0.0527,0.0512
1983.75,0.0535,0.0525
1984,0.0534,0.0528
1984.25,0.0537,0.0533
1984.5,0.0541,0.0538
1984.75,0.0539,0.0537
1985,0.0538,0.0536
1985.25,0.0542,0.054
1985.5,0.054,0.0538
1985.75,0.0532,0.0531
1986,0.0526,0.0524
1986.25,0.0532,0.053
1986.5,0.0524,0.0522
1986.75,0.0522,0.0522
1987,0.0517,0.0517
1987.25,0.0517,0.0519
1987.5,0.0514,0.0519
1987.75,0.051,0.0515
1988,0.0495,0.05
1988.25,0.049,0.0496
1988.5,0.0487,0.0493
1988.75,0.0483,0.0489
1989,0.0467,0.0473
1989.25,0.0466,0.0503
1989.5,0.0457,0.0493
1989.75,0.0463,0.05
1990,0.045,0.0485
1990.25,0.044,0.0473
1990.5,0.0442,0.0475
1990.75,0.0427,0.0457
1991,0.0416,0.0444
1991.25,0.0417,0.0445
1991.5,0.0411,0.0438
1991.75,0.0411,0.0437
1992,0.0418,0.0445
1992.25,0.0429,0.0456
1992.5,0.0429,0.0457
1992.75,0.0428,0.0456
1993,0.0423,0.0451
1993.25,0.0426,0.0454
1993.5,0.0425,0.0454
1993.75,0.0432,0.0461
1994,0.0448,0.0479
1994.25,0.0444,0.0475
1994.5,0.0441,0.0473
1994.75,0.044,0.0472
1995,0.0428,0.046
1995.25,0.0426,0.0457
