Timeline,FERU,NRU,NRUST,NAIRU
1999.25,0.0405,0.0526,0.0526,0.0502
1999.5,0.0401,0.0525,0.0525,0.0509
1999.75,0.0397,0.0524,0.0524,0.0508
2000,0.0406,0.0522,0.0522,0.0519
2000.25,0.0391,0.0521,0.0521,0.0519
2000.5,0.0386,0.052,0.052,0.0528
2000.75,0.0375,0.0519,0.0519,0.052
2001,0.0389,0.0518,0.0518,0.0537
2001.25,0.0376,0.0517,0.0517,0.0534
2001.5,0.0379,0.0516,0.0516,0.0543
2001.75,0.0383,0.0515,0.0515,0.0568
2002,0.0377,0.0514,0.0514,0.056
2002.25,0.0376,0.0513,0.0513,0.0564
2002.5,0.0368,0.0512,0.0512,0.0548
2002.75,0.0372,0.0511,0.0511,0.0553
2003,0.0363,0.051,0.051,0.0553
2003.25,0.0364,0.0509,0.0509,0.0562
2003.5,0.0365,0.0508,0.0508,0.0565
2003.75,0.0359,0.0507,0.0507,0.0547
2004,0.0366,0.0506,0.0506,0.0542
2004.25,0.0369,0.0505,0.0505,0.0542
2004.5,0.0362,0.0504,0.0504,0.0535
2004.75,0.0371,0.0503,0.0503,0.0532
2005,0.0376,0.0502,0.0502,0.0525
2005.25,0.037,0.0501,0.0501,0.0513
2005.5,0.0371,0.05,0.05,0.0511
2005.75,0.0376,0.05,0.05,0.0517
2006,0.0369,0.0499,0.0499,0.051
2006.25,0.0378,0.0498,0.0498,0.0515
2006.5,0.0374,0.0497,0.0497,0.0525
2006.75,0.0368,0.0496,0.0496,0.0519
2007,0.0371,0.0494,0.0494,0.0534
2007.25,0.0375,0.0493,0.0493,0.0535
2007.5,0.0377,0.0492,0.0492,0.0541
2007.75,0.0381,0.0491,0.0491,0.0545
2008,0.0382,0.049,0.0491,0.0551
2008.25,0.0379,0.049,0.0496,0.0564
2008.5,0.0382,0.0489,0.0499,0.0587
2008.75,0.0381,0.0488,0.051,0.0601
2009,0.0395,0.0488,0.0521,0.0639
2009.25,0.0385,0.0487,0.0528,0.0661
2009.5,0.0384,0.0486,0.054,0.0655
2009.75,0.0399,0.0486,0.055,0.0661
